Methanothermobacter marburgensis Wasserfallen et al. (ATCC BAA-927),$550.00,$467.50,NA,NA,OCM 82 [DSM 2133],1,frozen,ATCC  2487: MS-OCM Base  with 43 mM NaCl and 5 mM sodium acetate,"Temperature: 55Celsius 
Atmosphere: Anaerobic gas mixture, 80% H2 – 20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-927.ashx
Nitrincola lacisaponensis Dimitriu et al. (ATCC BAA-920),$550.00,$467.50,NA,Nitrumincola lacisaponis,4CA,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-920.ashx
Methanogenium organophilum Widdel et al. (ATCC BAA-914),$550.00,$467.50,NA,NA,"OCM 72 [CV, DSM 3596]",1,frozen,MGH OCM,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 30.0Celsius",-80Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/BAA-914.ashx
Methanolobus taylorii Oremland and Boone (ATCC BAA-911),$550.00,$467.50,NA,NA,"OCM 58 [DSM 9005, GS-16]",1,frozen,ATCC  2561: MSH-OCM  w/ 20mM trimethylamine,"Temperature: 37Celsius 
Atmosphere: Anaerobic - 80% H2- 20% CO2(5 psi)",-80Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/BAA-911.ashx
Desulfovibrio gracilis Magot et al. (ATCC BAA-904),$550.00,$467.50,NA,NA,SRL6146 [DSM 16080],1,freeze-dried,ATCC  2465: Desulfovibrio gracilis medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Reduces sulfate,https://www.atcc.org/~/ps/BAA-904.ashx
Thermoanaerobacter sp. (ATCC BAA-892),$550.00,$467.50,NA,NA,TLO [DSM 15750],1,freeze-dried,ATCC  2107: Modified Reinforced Clostridial,Temperature: 65.0Celsius Atmosphere: Anaerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-892.ashx
Haloferax sulfurifontis (ATCC BAA-897),$550.00,$467.50,NA,NA,M6,1,freeze-dried,ATCC  2448: Haloferax sulfurifontis,"Temperature: 37Celsius  (shaker)
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Reduces sulfur,https://www.atcc.org/~/ps/BAA-897.ashx
Methanohalophilus portucalensis Boone et al. (ATCC BAA-912),$550.00,$467.50,NA,NA,"OCM 59 [59, DSM 7471, FDF-1]",1,frozen,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-912.ashx
Desulfovibrio putealis Basso et al. (ATCC BAA-905),$550.00,$467.50,NA,NA,B7-43 [DSM 16056],1,freeze-dried,ATCC  1249: Modified Baar's medium for sulfate reducers,Temperature: 30.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Reduces sulfate,https://www.atcc.org/~/ps/BAA-905.ashx
Anoxybacillus amylolyticus (ATCC BAA-872),$550.00,$467.50,NA,Amylobacillus thermantarcticus,MR3c,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-872.ashx
Rhodobacter sp. (ATCC BAA-870),$550.00,$467.50,NA,NA,BCT-ABIs,1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 30.0Celsius,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/BAA-870.ashx
Rhodobacter sp. (ATCC BAA-869),$550.00,$467.50,NA,NA,BCT-ABFGs,1,freeze-dried,NA,NA,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/BAA-869.ashx
Rhodobacter sp. (ATCC BAA-867),$550.00,$467.50,NA,NA,OSrt,1,freeze-dried,ATCC  2338: Echinamoeba broth,Temperature: 55Celsius Atmosphere: Aerobic,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/BAA-867.ashx
Myxococcus fulvus (Cohn) Jahn (ATCC BAA-855),$550.00,$467.50,NA,NA,HW-1,1,NA,ATCC  220: Casitone agar,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-855.ashx
Halobacterium noricense Gruber et al. (ATCC BAA-852),$550.00,$467.50,NA,Halobacterium norici,A1,1,freeze-dried,ATCC  2169: Halobaculum gomorrense medium,Temperature: 37.0Celsius Atmosphere: aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-852.ashx
Halomonas alkaliantarctica (ATCC BAA-848),$550.00,$467.50,NA,Halomonas antarctica,CRSS,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-848.ashx
Dechloromonas denitrificans (ATCC BAA-841),$550.00,$467.50,NA,NA,ED1,1,freeze-dried,ATCC  2474: Dechloromonas denitrificans medium,Temperature: 30.0Celsius Atmosphere: Aerobic,NA,NA,NA,Produces nitrous oxide,https://www.atcc.org/~/ps/BAA-841.ashx
