,match,0
33178622,0,ATCC 33277 
33176843,0,ATCC 35984 
33176181,0,ATCC 29212 
33172215,0,ATCC 4083 
33171522,0,ATCC 11946 
33170684,0,ATCC 25922 
33170684,1,ATCC 90028 
33170684,2,ATCC 43300 
33169609,0,ATCC 31382 
33164340,0,ATCC andor 
33163506,0,ATCC 13565 
33163506,1,ATCC 14213 
33163506,2,ATCC 12472 
33162956,0,ATCC 700603 
33162956,1,ATCC 15692 
33162956,2,ATCC 6538 
33162956,3,ATCC 27012 
33162956,4,ATCC 24065 
33162956,5,ATCC 24067 
33162956,6,ATCC 0030 
33159606,0,ATCC 31532 
33159606,1,ATCC under 
33159606,2,ATCC 31532 
33158886,0,ATCC 32222 
33157098,0,ATCC 25923 
33153043,0,ATCC 14028 
33152431,0,ATCC 6919 
33151560,0,ATCC 17082 
33151367,0,ATCC 49982 
33151366,0,ATCC 27853 
33150140,0,ATCC  
33149896,0,ATCC 25922 
33149896,1,ATCC 29212 
33149843,0,ATCC 35405 
33149773,0,ATCC 8014 
33148822,0,ATCC 21929 
33148822,1,ATCC 21929 
33148822,2,ATCC 21929 
33148822,3,ATCC 21929 
33148822,4,ATCC 21929 
33148822,5,ATCC 21929 
33148822,6,ATCC 21929 
33148822,7,ATCC 21929 
33148822,8,ATCC 21929 
33148822,9,ATCC 21929 
33148822,10,ATCC 21929 
33148507,0,ATCC 8482 
33148507,1,ATCC 8482 
33148316,0,ATCC 43598 
33147946,0,ATCC 25923 
33147036,0,ATCC 27853 
33147036,1,ATCC 25922 
33146331,0,ATCC 25922 
33146331,1,ATCC 27853 
33146331,2,ATCC 25923 
33146331,3,ATCC 25175 
33143417,0,ATCC 39006 
33142974,0,ATCC 25922 
33142707,0,ATCC 43185 
33142707,1,ATCC 43185 
33142707,2,ATCC 43185 
33142707,3,ATCC 43185 
33142707,4,ATCC 43185 
33142707,5,ATCC 43185 
33142707,6,ATCC 43185 
33142513,0,ATCC 6051a 
33138034,0,ATCC 43300 
33137586,0,ATCC 12472 
33137559,0,ATCC 43300 
33137559,1,ATCC 29213 
33137559,2,ATCC 25922 
33135796,0,ATCC 25923 
33135796,1,ATCC 7644 
33134743,0,ATCC 27592 
33134584,0,ATCC 15700 
33134581,0,ATCC 12472 
33134581,1,ATCC 12472 
33134573,0,ATCC 700603 
33134573,1,ATCC 27853 
33134573,2,ATCC 33591 
33133039,0,ATCC 700641 
33133039,1,ATCC 15912 
33133039,2,ATCC 700641 
33133039,3,ATCC 700641 
33133039,4,ATCC 700641 
33133039,5,ATCC 15912 
33131819,0,ATCC 14917 
33123815,0,ATCC  
33122095,0,ATCC 29212 
33121415,0,ATCC 6538 
33121415,1,ATCC 8739 
33121415,2,ATCC 43300 
33118874,0,ATCC 8199 
33118874,1,ATCC 8199 
33116494,0,ATCC  
33116494,1,ATCC 2266 
33116494,2,ATCC 1573 
33114106,0,ATCC 25922 
33114026,0,ATCC 12472 
33112800,0,ATCC or 
33112224,0,ATCC 33485 
33110328,0,ATCC  
33107289,0,ATCC 25922 
33103697,0,ATCC 25923 
33103697,1,ATCC 25923 
33102409,0,ATCC 14917 
33102409,1,ATCC 630 
33101239,0,ATCC  
33101239,1,ATCC  
33098506,0,ATCC 51393 
33097965,0,ATCC 22214 
33097501,0,ATCC 24843 
33097497,0,ATCC 29212 
33097497,1,ATCC 29212 
33097042,0,ATCC 19 
33097042,1,ATCC 25 
33096177,0,ATCC 19358 
33092791,0,ATCC 29425 
33092791,1,ATCC 49461 
33090249,0,ATCC 10231 
33090249,1,ATCC 10231 
33086345,0,ATCC 6538 
33086345,1,ATCC 27853 
33085038,0,ATCC 25 
33084565,0,ATCC 12472 
33083133,0,ATCC 14501 
33083133,1,ATCC 25548 
33082785,0,ATCC 25175 
33077075,0,ATCC 19115 
33077075,1,ATCC 25922 
33077075,2,ATCC 13076 
33075514,0,ATCC 25922 
33075071,0,ATCC 27853 
33074530,0,ATCC 29212 
33074530,1,ATCC 29213 
33074530,2,ATCC 27853 
33074530,3,ATCC 25922 
33074086,0,ATCC 39006 
33072722,0,ATCC  
33072469,0,ATCC 8750 
33072469,1,ATCC 13138 
33072469,2,ATCC 14909 
33072469,3,ATCC 15175 
33072469,4,ATCC 13048 
33072469,5,ATCC 25922 
33072469,6,ATCC 27853 
33072020,0,ATCC 13047 
33069867,0,ATCC 27294 
33066699,0,ATCC 25923 
33066198,0,ATCC strain 
33065306,0,ATCC 23857 
33065306,1,ATCC 25922 
33065306,2,ATCC 25923 
33065306,3,ATCC 35084 
33065306,4,ATCC 33845 
33064262,0,ATCC 25923 
33063345,0,ATCC 25922 
33062698,0,ATCC 35984 
33062698,1,ATCC 43330 
33062698,2,ATCC 12228 
33062698,3,ATCC 43300 
33062698,4,ATCC 35984 
33062698,5,ATCC 12228 
33062698,6,ATCC 12228 
33062698,7,ATCC 35984 
33062698,8,ATCC 43300 
33062698,9,ATCC 43300 
33062698,10,ATCC 35984 
33062698,11,ATCC 12228 
33061982,0,ATCC 25922 
33061982,1,ATCC 27853 
33061982,2,ATCC 29213 
33049077,0,ATCC 19433 
33049077,1,ATCC 35152 
33047890,0,ATCC 33277 
33047391,0,ATCC 43300 
33047391,1,ATCC 33591 
33047273,0,ATCC and 
33047273,1,ATCC 33591 
33045593,0,ATCC strains 
33045593,1,ATCC 2001 
33043388,0,ATCC 4356 
33043388,1,ATCC 4356 
33042872,0,ATCC 25922 
33042083,0,ATCC 15697 
33042083,1,ATCC 15697 
33035921,0,ATCC 25923 
33034400,0,ATCC and 
33033304,0,ATCC  
33031951,0,ATCC strains 
33031896,0,ATCC 25922 
33031630,0,ATCC 12228 
33031630,1,ATCC 12228 
33031506,0,ATCC strain 
33030444,0,ATCC 43504T 
33030444,1,ATCC 43504T 
33029146,0,ATCC 25923 
33029146,1,ATCC 10876 
33029146,2,ATCC 25922 
33028279,0,ATCC 10102 
33028279,1,ATCC 25925 
33028279,2,ATCC 25922 
33028279,3,ATCC 25933 
33027987,0,ATCC 27853 
33026584,0,ATCC 20542 
33025182,0,ATCC 35 
33025100,0,ATCC 25922 
33021914,0,ATCC 28344 
33021210,0,ATCC Pa27853 
33017605,0,ATCC 12472 
33013731,0,ATCC 43300 
33012080,0,ATCC 13032 
33011306,0,ATCC 15483 
33011306,1,ATCC 15483 
33011279,0,ATCC 25 
33010367,0,ATCC strains 
33008474,0,ATCC 25922 
33008110,0,ATCC and 
33008110,1,ATCC strain 
33008104,0,ATCC 25923 
33008104,1,ATCC 14593 
33008104,2,ATCC 25922 
33008104,3,ATCC 13883 
33007464,0,ATCC 13047 
33004948,0,ATCC PTA 
33004948,1,ATCC PTA 
33004948,2,ATCC PTA 
33003282,0,ATCC 25923 
32998217,0,ATCC 25923 
32994957,0,ATCC 10658 
32994896,0,ATCC 39315 
32994717,0,ATCC 25922 
32994717,1,ATCC 35218 
32994717,2,ATCC 29 
32994717,3,ATCC 43300 
32994717,4,ATCC 35 
32994717,5,ATCC 43 
32992953,0,ATCC 35960 
32992953,1,ATCC 35960 
32992853,0,ATCC  
32992853,1,ATCC  
32992853,2,ATCC  
32988823,0,ATCC 43300 
32988823,1,ATCC 35984 
32988347,0,ATCC and 
32988347,1,ATCC by 
32988347,2,ATCC at 
32988347,3,ATCC  
32987077,0,ATCC 6538 
32985563,0,ATCC 15697 
32984920,0,ATCC 9446 
32984074,0,ATCC 25923 
32983192,0,ATCC 16529 
32983061,0,ATCC 6538 
32983061,1,ATCC 43300 
32983045,0,ATCC 12228 
32981511,0,ATCC were 
32978757,0,ATCC 55544 
32978757,1,ATCC 53103 
32972932,0,ATCC 202195 
32972748,0,ATCC 14579 
32972748,1,ATCC 14579 
32972419,0,ATCC 15442 
32972419,1,ATCC 25922 
32972419,2,ATCC 29213 
32971800,0,ATCC 25922 
32970915,0,ATCC 10231 
32970915,1,ATCC 10231 
32970171,0,ATCC 33914 
32970171,1,ATCC 33914 
32970171,2,ATCC 33914 
32967351,0,ATCC 25923 
32967351,1,ATCC 25922 
32964392,0,ATCC 29212 
32961522,0,ATCC 16404 
32958719,0,ATCC 33591 
32954547,0,ATCC 25922 
32952512,0,ATCC 25923 
32952512,1,ATCC 49619 
32952512,2,ATCC 25922 
32950638,0,ATCC 43700 
32950564,0,ATCC strains 
32947912,0,ATCC 43866 
32947912,1,ATCC 49996 
32947912,2,ATCC 51299 
32945360,0,ATCC 10702 
32945189,0,ATCC 29213 
32945120,0,ATCC  
32944156,0,ATCC 33277 
32944156,1,ATCC 33277 
32944045,0,ATCC 14035 
32943555,0,ATCC 49442 
32943555,1,ATCC 49442 
32941130,0,ATCC 29178 
32939976,0,ATCC 33277 
32939976,1,ATCC 33277 
32939976,2,ATCC 33277 
32937873,0,ATCC 25923 
32937181,0,ATCC 33277 
32937181,1,ATCC 33277 
32937181,2,ATCC 33277 
32937181,3,ATCC 33277 
32929857,0,ATCC 19606 
32929392,0,ATCC  
32928115,0,ATCC 19606 
32926998,0,ATCC 8739 
32926998,1,ATCC 25923 
32924637,0,ATCC 29213 
32924353,0,ATCC 12291 
