product,ID
ATCC 11779 ,1
ATCC 11797 ,2
ATCC 11827 ,6
ATCC 11828 ,2
ATCC 11842 ,19
ATCC 11845 ,7
ATCC 11859 ,6
ATCC 11861 ,1
ATCC 11863 ,3
ATCC 11894 ,1
ATCC 1191 ,1
ATCC 11924 ,2
ATCC 11946 ,1
ATCC 11947 ,1
ATCC 11974 ,1
ATCC 11976 ,1
ATCC 11996 ,2
ATCC 12 ,4
ATCC 12017 ,1
ATCC 12022 ,16
ATCC 12046 ,3
ATCC 120515 ,1
ATCC 12055 ,1
ATCC 121002 ,1
ATCC 12104 ,4
ATCC 1216b ,1
ATCC 12204 ,1
ATCC 12223 ,1
ATCC 12225 ,1
ATCC 12228 ,94
ATCC 12228_EtBr ,1
ATCC 12245 ,1
ATCC 12258 ,1
ATCC 1228 ,2
ATCC 12291 ,2
ATCC 1230 ,1
ATCC 12321 ,3
ATCC 12344 ,1
ATCC 12373 ,2
ATCC 12378 ,1
ATCC 12384 ,1
ATCC 12386 ,1
ATCC 12394 ,1
ATCC 12395 ,1
ATCC 12403 ,1
ATCC 12407 ,1
ATCC 12425 ,1
ATCC 12434 ,1
ATCC 12435 ,4
ATCC 12453 ,3
ATCC 12459 ,3
ATCC 12472 ,49
ATCC 12472T ,1
ATCC 12478 ,7
ATCC 1249 ,3
ATCC 12535 ,1
ATCC 1255 ,1
ATCC 12555 ,1
ATCC 12555T ,1
ATCC 12598 ,7
ATCC 12600 ,25
ATCC 12633 ,14
ATCC 12646 ,1
ATCC 12647 ,1
ATCC 12648 ,1
ATCC 12686 ,1
ATCC 12692 ,3
ATCC 12698 ,1
ATCC 12775 ,3
ATCC 12806 ,1
ATCC 12826 ,1
ATCC 12837 ,1
ATCC 12856 ,1
ATCC 12856T ,1
ATCC 12868 ,1
ATCC 12892 ,2
ATCC 12905 ,1
ATCC 12915 ,1
ATCC 12916 ,1
ATCC 12956 ,2
ATCC 12980 ,7
ATCC 1299 ,1
ATCC 13 ,3
ATCC 13032 ,91
ATCC 13032T ,2
ATCC 13045 ,1
ATCC 13047 ,19
ATCC 13048 ,13
ATCC 13061 ,4
ATCC 13073 ,1
ATCC 13075 ,1
ATCC 13076 ,33
ATCC 13090 ,1
ATCC 13096 ,1
ATCC 13124 ,21
ATCC 13125 ,1
ATCC 13127 ,1
ATCC 13138 ,1
ATCC 13144 ,3
ATCC 13150 ,1
ATCC 13182 ,4
ATCC 13223 ,1
ATCC 13224 ,1
ATCC 13253 ,3
ATCC 13273 ,8
ATCC 13287 ,1
ATCC 1330 ,1
ATCC 13306 ,1
ATCC 13308 ,1
ATCC 13309 ,1
ATCC 13311 ,31
ATCC 13314 ,2
